# Tag name          ;  color
Voice               ; #00aa7f
TRS                 ; #ff510c
Radio Direction Finding; #aaaa00
Ham                 ; #00aa7f
Aircraft            ; #aaffff
Schuylkill County   ; #eae788
Public Works        ; #c0629f
Data                ; #00ffff
Satellite           ; #905353
Transportation      ; #5bc03f
Utilities           ; #4d5fc0
Digital/DMR         ; #aa55ff

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
     1490000; WONN-FM                  ; AM                  ;      10000; Voice
     1816710; Morse Code               ; CW-L                ;        500; Data
     4625000; UVB-76                   ; USB                 ;       2700; Ham
     6925000; Frequent Pirate Radio    ; AM                  ;      10000; Voice
     7048900; W1AW - ARRL              ; LSB                 ;       2700; Ham
     7173000; LSB 40 Meters            ; LSB                 ;       2700; Ham
    12160000; Crazy Conspiracy Nut     ; AM                  ;      10000; Voice
    31000000; Little Britain Ag Supply ; Narrow FM           ;      10000; Voice
    31160000; John Weidman & Son Oil Burner Service; Narrow FM           ;      10000; Voice
    33080000; Manheim Township Ambulance Assoc; Narrow FM           ;      10000; Voice
    33420000; Hope Fire Engine & Hose Company; Narrow FM           ;      10000; Voice
    33440000; Lancaster County Fire/EMS; Narrow FM           ;      10000; Voice
    33480000; Lancaster County Fire/EMS; Narrow FM           ;      10000; Voice
    33520000; Lancaster County Fire/EMS; Narrow FM           ;      10000; Voice
    33560000; Fire/EMS Dispatch B (Northeast) TRS Rebroadcast; Narrow FM           ;      10000; Voice
    33600000; House Siren Activations  ; Narrow FM           ;      10000; Voice
    33620000; Hope Fire Engine & Hose Company; Narrow FM           ;      10000; Voice
    33640000; Fire/EMS Dispatch A (Northwest) TRS Rebroadcast; Narrow FM           ;      10000; Voice
    33720000; Fire/EMS Dispatch C (City/South) TRS Rebroadcast; Narrow FM           ;      10000; Voice
    33800000; Lititz FC No. 1          ; Narrow FM           ;      10000; Voice
    33820000; Lancaster City Voice     ; Narrow FM           ;      10000; Voice
    33840000; Ephrata Pioneer FC       ; Narrow FM           ;      10000; Voice
    33900000; County Fire/EMS Dispatch ; Narrow FM           ;      10000; Voice
    33920000; East Lampeter Township Fire District; Narrow FM           ;      10000; Voice
    33960000; Lititz FC No. 1          ; Narrow FM           ;      10000; Voice
    33980000; Elizabethtown Fire District; Narrow FM           ;      10000; Voice
    45040000; Mount Joy Township Forest Fire Channel; Narrow FM           ;      10000; Voice
    45640000; Akron Municipal PD (Tac/Low); Narrow FM           ;      10000; Voice
    45700000; West Earl Municipal PD (Low); Narrow FM           ;      10000; Voice
    53330000; K3CX Honey Brook         ; AM                  ;      46400; Ham,Voice
    53850000; N3TJJ Rawlinsville       ; Narrow FM           ;       6600; Ham
    53970000; W3HZU York               ; Narrow FM           ;       6600; Ham
    72580000; County Fire/EMS Dispatch ; Narrow FM           ;      10000; Voice
    88700000; WXPN                     ; WFM (mono)          ;     160000; Voice
    89500000; WITF                     ; WFM (mono)          ;     160000; Voice
    90300000; WJTL                     ; WFM (mono)          ;     160000; Voice
    90700000; WRTL                     ; WFM (stereo)        ;     160000; Voice
    91300000; WLCH                     ; WFM (mono)          ;     160000; Voice
    91900000; WYTL                     ; WFM (mono)          ;     160000; Voice
    92100000; WTPA                     ; WFM (mono)          ;     160000; Voice
    94500000; WDAC                     ; WFM (mono)          ;     160000; Voice
    96100000; WSOX                     ; WFM (mono)          ;     160000; Voice
    96900000; WLAN                     ; WFM (mono)          ;     160000; Voice
    97300000; WRVV                     ; WFM (mono)          ;     160000; Voice
   101300000; 101 "The Rose"           ; WFM (mono)          ;     160000; Voice
   117300000; KLNS LRP                 ; AM                  ;       5000; Radio Direction Finding,Aircraft
   120900000; KLNS Tower               ; AM                  ;      10000; Aircraft,Voice
   121800000; KLNS Ground Control      ; AM                  ;      10000; Aircraft,Voice
   122950000; KLNS Unicom              ; AM                  ;      10000; Aircraft,Voice
   123050000; Smoketown Ground Control ; AM                  ;      10000; Aircraft
   125675000; KLNS Automated Weather   ; AM                  ;      10000; Aircraft,Voice
   126450000; KLNS Approach/Departure (KMDT Harrisburg); AM                  ;      10000; Aircraft
   130169000; ISS Comms                ; Narrow FM           ;      10000; Satellite,Voice
   136770000; NOAA 9 (DEAD)            ; Narrow FM           ;      10000; Satellite
   136975000; Orbcomm                  ; Narrow FM           ;      10000; Data,Satellite
   137100000; NOAA 19                  ; Narrow FM           ;      25000; Data,Satellite
   137620000; NOAA 15                  ; Narrow FM           ;      25000; Data,Satellite
   137890000; Meteor M2                ; Narrow FM           ;      10000; Data,Satellite
   137912500; NOAA 18                  ; Narrow FM           ;      25000; Data,Satellite
   144390000; APRS                     ; Narrow FM           ;      10000; Data
   144489000; WSPR Net Dial            ; Narrow FM           ;      10000; Data,Ham
   145210000; WB3EYB Harrisburg        ; Narrow FM           ;      10000; Ham,Voice
   145230000; K3IR Manheim             ; Narrow FM           ;      10000; Ham
   145290000; W3ND Harrisburg          ; Narrow FM           ;      20000; Ham,Voice
   145310000; N3FYI Lancaster          ; Narrow FM           ;      10000; Ham
   145370000; SARA Club                ; Narrow FM           ;      10000; Schuylkill County
   145390000; W3AD Cornwall            ; Narrow FM           ;      10000; Ham,Voice
   145450000; W3XP Ephrata             ; Narrow FM           ;      10000; Ham,Voice
   145960000; RadFxSat (Fox-1B)        ; Narrow FM           ;      10000; Satellite,Voice
   145980000; AO-85 (FOX-1A)           ; Narrow FM           ;      10000; Satellite
   146490000; Tamaqua Repeater         ; Narrow FM           ;      10000; Schuylkill County
   146610000; K3NCY New Holland        ; Narrow FM           ;      10000; Ham,Voice
   146640000; Pine Grove AARG          ; Narrow FM           ;      10000; Schuylkill County
   146700000; K3AE Shrewsberry         ; Narrow FM           ;      10000; Ham,Voice
   146745000; KX3B Buck                ; Narrow FM           ;      10000; Digital/DMR
   146760000; W3UU Harrisburg          ; Narrow FM           ;      15400; Ham,Voice
   146865000; W3ZGD Red Lion           ; Narrow FM           ;      10000; Ham,Voice
   146880000; W3WAN Lebanon            ; Narrow FM           ;      10000; Ham,Voice
   146910000; W3BN Reading             ; Narrow FM           ;      10000; Ham,Voice
   146925000; W3WAN York               ; Narrow FM           ;      10000; Voice
   146970000; W3HZU York               ; Narrow FM           ;      10000; Ham,Voice
   146985000; W3GMS Chester            ; Narrow FM           ;      20000; Ham,Voice
   147015000; W3RR LGH                 ; Narrow FM           ;      10000; Ham,Voice
   147105000; KA0JQO Cornwall          ; Narrow FM           ;      10000; Digital/DMR,Ham
   147165000; K3LV Grantville          ; Narrow FM           ;      10000; Ham,Voice
   147210000; K3ZMC Berks/Earlville    ; Narrow FM           ;      20000; Ham,Voice
   147270000; Tamaqua W3TWA            ; Narrow FM           ;      10000; Schuylkill County
   147285000; N3SWH - Newmanstown      ; Narrow FM           ;      10000; Ham,Voice
   147315000; K3LV Cornwall            ; Narrow FM           ;      10000; Voice
   147330000; W3MUM - Hanover          ; Narrow FM           ;      15400; Ham,Voice
   147345000; W3SC Pottsville          ; Narrow FM           ;      15400; Ham,Schuylkill County,Voice
   147390000; Hegins KB3VXB            ; Narrow FM           ;      10000; Schuylkill County
   150830000; Black Rock Retreat       ; Narrow FM           ;      10000; Voice
   150995000; Mountville Borough PD    ; Narrow FM           ;      10000; Voice
   151085000; West Lampeter PD         ; Narrow FM           ;      10000; Voice
   151137500; Shendandoah Fire/Police  ; Narrow FM           ;      10000; Schuylkill County
   151175000; Cressona DPW             ; Narrow FM           ;      10000; Schuylkill County
   151205000; New Holland Boro PD      ; Narrow FM           ;      10000; Voice
   151250000; Martindale Fire Company  ; Narrow FM           ;      10000; Voice
   151325000; Schuylkill County EMS    ; Narrow FM           ;      10000; Schuylkill County
   151415000; Pottsville PDW/PD        ; Narrow FM           ;      10000; Schuylkill County
   151520000; DART Production Ops      ; Narrow FM           ;      10000; Voice
   151580000; Shultz Lancaster District 1; Narrow FM           ;      10000; Transportation
   151595000; Hotel Ch1 Maintenance    ; Narrow FM           ;      10000; Voice
   151625000; West Penn Fire Police    ; Narrow FM           ;      10000; Schuylkill County
   151715000; Dutch Wonderland - Maintenance; Narrow FM           ;      10000; Voice
   151730000; Groff Bus Service        ; Narrow FM           ;      10000; Transportation
   151745000; Dutch Wonderland - Security; Narrow FM           ;      10000; Voice
   151790000; R R Donnelley & Sons     ; Narrow FM           ;      10000; Voice
   151850000; R R Donnelley & Sons     ; Narrow FM           ;      10000; Voice
   151895000; Graybill Bus Manheim     ; Narrow FM           ;      10000; Transportation
   151925000; Dutch Wonderland - Retail; Narrow FM           ;      10000; Voice
   151955000; Dutch Wonderland - Food Service; Narrow FM           ;      10000; Voice
   151955000; Schuylkill County Prison ; Narrow FM           ;      10000; Schuylkill County
   152180000; POCSAG                   ; Narrow FM           ;      20000; Data
   152345000; DART Building 4          ; Narrow FM           ;      10000; Voice
   152390000; Yellow Cab               ; Narrow FM           ;      10000; Transportation
   152420000; Hotel Ch2 Housekeeping   ; Narrow FM           ;      10000; Voice
   152450000; Columbia Borough School District; Narrow FM           ;      10000; Voice
   152450000; DART Building 13/14      ; Narrow FM           ;      10000; Voice
   152450000; Kunzler                  ; Narrow FM           ;      10000; Voice
   152465000; DART Maintenance         ; Narrow FM           ;      10000; Voice
   152900000; Rohrers Quarry           ; Narrow FM           ;      10000; Voice
   152915000; Dutch Wonderland - Environmental Services; Narrow FM           ;      10000; Voice
   152945000; Althouse Transportation (Octorara SD); Narrow FM           ;      10000; Transportation
   153095000; DART Shipping/Yard jockeys; Narrow FM           ;      10000; Voice
   153235000; DART 1st Responders      ; Narrow FM           ;      10000; Voice
   153785000; New Holland Boro PD      ; Narrow FM           ;      10000; Voice
   154002500; Fivepointville Ambulance Tactical; Narrow FM           ;      10000; Voice
   154025000; Ephrata Twp PD           ; Narrow FM           ;      10000; Voice
   154055000; Lancaster County Constables; Narrow FM           ;      10000; Voice
   154100000; West Hempfield Twp PD - Tactical; Narrow FM           ;      10000; Voice
   154490000; Rohrers Quarry (Trucks)  ; Narrow FM           ;      10000; Voice
   154540000; Quarryville Presbyterian Retirement Community; Narrow FM           ;      10000; Voice
   154570000; Lancaster County Constables; Narrow FM           ;      10000; Voice
   154570000; Hometown Walmart         ; Narrow FM           ;      10000; Schuylkill County
   154600000; WAWA Lancaster           ; Narrow FM           ;      10000; Voice
   154600000; Ryan Township Police     ; Narrow FM           ;      10000; Schuylkill County
   154845000; Ephrata Boro PD          ; Narrow FM           ;      10000; Public Works
   154876000; Lancaster City Police Department; Narrow FM           ;      20000; Voice
   154890000; Ephrata Borough PD       ; Narrow FM           ;      10000; Voice
   154965000; Manheim Twp PD           ; Narrow FM           ;      10000; Voice
   154980000; Canervon Twp PD          ; Narrow FM           ;      10000; Voice
   155017500; New Holland EMS          ; Narrow FM           ;      10000; Voice
   155085000; Rapho Twp PD             ; Narrow FM           ;      10000; Voice
   155100000; East Earl PD             ; Narrow FM           ;      10000; Voice
   155130000; Columbia PD              ; Narrow FM           ;      10000; Voice
   155145000; Denver/Cocalico PD       ; Narrow FM           ;      10000; Voice
   155145000; Mount Joy - Tactical     ; Narrow FM           ;      10000; Voice
   155160000; Emergency Strike Team (WEST) - Portable Repeater; Narrow FM           ;      10000; Voice
   155175000; Groff Bus service        ; Narrow FM           ;      10000; Transportation
   155205000; Geib Bus                 ; Narrow FM           ;      10000; Transportation
   155235000; Shultz Bus Service       ; Narrow FM           ;      10000; Transportation
   155310000; East Cocalilco PD        ; Narrow FM           ;      10000; Voice
   155340000; Lancaster EMS            ; Narrow FM           ;      10000; Voice
   155370000; Millersville University PD; Narrow FM           ;      10000; Voice
   155407500; Lancaster EMS Association; Narrow FM           ;      10000; Voice
   155520000; Elizabethtown PD         ; Narrow FM           ;      10000; Voice
   155595000; East Lampeter PD         ; Narrow FM           ;      10000; Voice
   155655000; Manheim Twp PD           ; Narrow FM           ;      10000; Voice
   155655000; Manheim Twp Police       ; Narrow FM           ;      10000; Voice
   155685000; Lancaster County Police Dispatch; Narrow FM           ;      10000; Voice
   155715000; Millersville PD          ; Narrow FM           ;      10000; Voice
   155745000; Airport Security         ; Narrow FM           ;      10000; Voice
   155745000; Lancaster Airport        ; Narrow FM           ;      10000; Voice
   155775000; Warwick PD - Tactical    ; Narrow FM           ;      10000; Voice
   155880000; East Hempfield Twp PD    ; Narrow FM           ;      10000; Voice
   155880000; Manor Twp PD - Tactical  ; Narrow FM           ;      10000; Voice
   155925000; Warwick Twp PD           ; Narrow FM           ;      10000; Voice
   155955000; Bart Twp PD              ; Narrow FM           ;      10000; Voice
   156015000; Penn Twp PD              ; Narrow FM           ;      10000; Voice
   156120000; Pequea Twp PD            ; Narrow FM           ;      10000; Voice
   156195000; PA Turnpike Commission   ; Narrow FM           ;      10000; Transportation,Voice
   156240000; Susquehanna Regional Police; Narrow FM           ;      10000; Voice
   157597500; Fivepointville Ambulance ; Narrow FM           ;      10000; Voice
   157620000; Schuylkill Mall          ; Narrow FM           ;      10000; Schuylkill County
   158745000; Mount Joy Twp - Tactical ; Narrow FM           ;      10000; Voice
   158805000; West Donegal PD          ; Narrow FM           ;      10000; Voice
   158955000; Manheim Boro PD          ; Narrow FM           ;      10000; Public Works
   159395000; Dispactch (Unknown Org)  ; Narrow FM           ;      10000; Voice
   160065000; Rohrers Quarry (Ops)     ; Narrow FM           ;      10000; Voice
   160170000; Shultz Lancaster District 2; Narrow FM           ;      10000; Transportation
   160185000; Chester County Dispatch  ; Narrow FM           ;       5000; Voice
   162400000; NOAA Weather Channel 1   ; Narrow FM           ;      10000; Data,Voice
   162425000; NOAA Weather Channel 2   ; Narrow FM           ;      10000; Data,Voice
   162450000; NOAA Weather Channel 3   ; Narrow FM           ;      10000; Data,Voice
   162475000; NOAA Weather Channel 4   ; Narrow FM           ;      10000; Data,Voice
   162500000; NOAA Weather Channel 5   ; Narrow FM           ;      10000; Data,Voice
   162525000; NOAA Weather Channel 6   ; Narrow FM           ;      10000; Data,Voice
   162550000; NOAA Weather Channel 7   ; Narrow FM           ;      10000; Data,Voice
   180310000; NTSC Channel 8 Carrier   ; Narrow FM           ;      10000; Data
   224020000; K3ZMC Pottstown          ; Narrow FM           ;      10000; Ham
   224040000; N3JCN Parkesburg         ; Narrow FM           ;      10000; Ham,Voice
   224320000; N3FYI - Lancaster        ; Narrow FM           ;      10000; Ham,Voice
   224320000; WA3WPA Rawlinsville      ; Narrow FM           ;      10000; Ham,Voice
   224440000; KA3CNT Lititz            ; Narrow FM           ;      10000; Ham,Voice
   224640000; K3TI Reading             ; Narrow FM           ;      10000; Ham,Voice
   224780000; AK3E Buck                ; Narrow FM           ;      10000; Ham,Voice
   224820000; N3TPL Cornwall           ; Narrow FM           ;      10000; Ham,Voice
   224840000; KA3CNT Cornwall          ; Narrow FM           ;      10000; Ham,Voice
   225790000; RTTY Beacon?             ; USB                 ;       2700; Data
   436795000; SO-50                    ; Narrow FM           ;      10000; Satellite,Voice
   442000000; KJ6AL Parkesburg         ; Narrow FM           ;      10000; Ham
   442050000; N3KZ York                ; Narrow FM           ;      10000; Ham
   442150000; W3BXW Cornwall BEARS     ; Narrow FM           ;      10000; Ham
   442400000; N3KZ Eagles Peak         ; Narrow FM           ;      10000; Ham
   443250000; K3IR Manheim SPARC       ; Narrow FM           ;      10000; Ham
   443550000; K3ZMC Earlville          ; AM                  ;      10000; Ham,Voice
   443975000; KB3OUC Reading Mt. Penn  ; Narrow FM           ;      10000; Ham
   444250000; W3SWR Oxford             ; Narrow FM           ;      10000; Ham
   444250000; W3SBA York               ; Narrow FM           ;      10000; Ham
   444350000; K3TI Reading             ; Narrow FM           ;      10000; Ham
   444600000; N3EZI Kirkwood           ; Narrow FM           ;      10000; Ham
   444650000; W3XP Ephrata             ; Narrow FM           ;      10000; Ham
   445175000; KB3WLV Reading           ; Narrow FM           ;      10000; Ham
   446175000; W3EOC - Chester          ; Narrow FM           ;      10000; Voice
   446475000; N3FYI Cornwall           ; Narrow FM           ;      10000; Ham
   447075000; AA3VI - Thorndale/Chester; Narrow FM           ;      20000; Ham,Voice
   447125000; W3BXW Honeybrook         ; Narrow FM           ;      10000; Ham
   447675000; K3LV Lebanon LVSRA       ; Narrow FM           ;      10000; Ham
   447925000; K3LV Cornwall LVSRA      ; Narrow FM           ;      10000; Ham
   448175000; N3EIO KC3LE Quarryville  ; Narrow FM           ;      10000; Ham
   448225000; AA3RG Grantville         ; Narrow FM           ;      10000; Ham
